Date,Time,Duration,From,To
28/03/2017,10:56:00,14:32, 6766 1158, 4370 9679
28/03/2017,10:59:06,11:22, 6758 0895, 4930 3347
28/03/2017,11:00:19,17:58, 5312 2919, 5313 1569
28/03/2017,11:02:27,12:32, 4993 0731, 9637 4653
28/03/2017,11:04:02,5:25, 4034 6525, 4989 7059
28/03/2017,11:05:54,1:33, 4532 6723, 6718 7555
28/03/2017,11:12:20,16:58, 4920 6309, 5656 6352
28/03/2017,11:21:01,3:42, 6211 5963, 8377 1658
28/03/2017,11:29:46,6:09, 8297 7924, 3930 7061
28/03/2017,11:49:48,7:09, 5319 7827, 5357 3598
28/03/2017,11:50:14,0:53, 4548 9591, 8663 6091
28/03/2017,12:00:42,10:15, 5365 1688,72 417 661
28/03/2017,12:04:25,10:50, 6195 4861, 6775 2496
28/03/2017,12:15:04,22:00, 6139 0969, 6794 5370
28/03/2017,12:19:13,8:56, 9675 5904, 6758 9457
28/03/2017,12:21:37,0:33, 4979 8750, 8204 0863
28/03/2017,12:24:54,7:43, 5329 2569, 4545 8224
28/03/2017,12:29:44,21:05, 5320 4291, 9051 8341
28/03/2017,12:34:52,23:29, 4993 0731, 9434 4877
28/03/2017,12:51:16,1:05, 3253 9904,(42) 589-416
28/03/2017,13:05:03,15:39, 9637 4653, 6115 9145
28/03/2017,13:06:34,0:44,476 9923, 8757 4268
28/03/2017,13:11:36,17:43, 6713 4537, 6701 9789
28/03/2017,13:16:47,2:08, 6758 0895, 9007 5247
28/03/2017,13:18:09,13:37, 4085 1720, 8381 4416
28/03/2017,13:21:28,6:16, 4993 0731, 5380 8256
28/03/2017,13:28:39,21:38, 4548 9144, 6264 3127
28/03/2017,13:32:49,15:02,(020) 4220-464,(027) 3291-098
28/03/2017,13:46:03,14:17, 4055 3027, 8255 5938
28/03/2017,13:51:58,5:32, 8297 7924, 8786 2592
28/03/2017,14:30:29,7:00,9553 6664,606 809 281
28/03/2017,14:40:15,19:38, 3825 1772, 5396 9273
28/03/2017,14:49:05,10:39, 4045 7441,079 3434 1865
28/03/2017,15:09:45,2:48, 6766 1158, 4029 7797
28/03/2017,15:23:44,10:41, 8540 2671, 8757 4744
28/03/2017,15:42:43,9:16, 4993 0731, 4548 9144
28/03/2017,15:42:58,12:47, 4938 6397, 5312 1391
28/03/2017,15:46:56,10:01, 6791 5095, 8228 5037
28/03/2017,15:47:43,3:34, 6264 3127, 9317 8204
28/03/2017,15:49:34,4:15, 4046 8242, 4057 4360
28/03/2017,15:50:02,22:11, 6264 3127, 8331 5410
28/03/2017,15:50:50,3:57, 4590 3028, 8336 5010
28/03/2017,16:11:29,23:51, 8453 0899, 5392 5763
28/03/2017,16:15:21,18:09, 4969 0767, 6254 9488
28/03/2017,16:24:54,10:16, 8232 6825, 6192 7373
28/03/2017,16:37:54,23:42, 9352 4877, 2681-902
28/03/2017,16:49:58,22:10,041-041-109, 9000 4011
28/03/2017,16:51:07,19:44, 5399 8170, 8788 2162
28/03/2017,16:56:46,20:01, 8769 2498,0681 848 10 30
28/03/2017,16:58:13,17:06, 3825 1772,376 209 969
28/03/2017,17:02:04,22:06, 4706 2002, 4984 7426
28/03/2017,17:08:02,3:12, 6240 8849, 9681 9348
28/03/2017,17:16:17,7:17, 5355 5886, 4532 6723
28/03/2017,17:34:20,20:39, 9009 4973, 3705 8814
28/03/2017,17:42:06,19:09, 4969 0767,078 2215 5414
28/03/2017,17:49:25,12:02, 4994 2133,(24) 4556-7767
28/03/2017,17:54:07,18:52, 6792 2681,031-928-474
28/03/2017,18:11:35,1:33,041-041-109, 6776 0368
28/03/2017,18:18:24,10:05,(45) 9059-2302, 3912 5281
28/03/2017,18:19:41,2:20, 9637 4653, 6712 2161
28/03/2017,18:31:02,15:52, 9009 1581, 9000 0933
28/03/2017,18:33:49,4:40, 5365 1688, 6220 5565
28/03/2017,18:44:09,1:38, 8384 2611, 8353 0309
28/03/2017,18:47:18,9:39,(44) 972-345, 6777 9673
28/03/2017,19:07:43,8:27, 9637 4653, 4035 8935
28/03/2017,19:14:37,3:16, 8540 2671, 6788 2249
28/03/2017,19:16:52,4:17, 4327 2022, 6113 7819
28/03/2017,19:17:30,3:48, 5310 7569, 9058 8977
28/03/2017,19:28:52,22:03, 4548 9144, 4993 0731
28/03/2017,19:35:50,8:41, 6230 9227, 4914 8002
28/03/2017,19:48:32,2:12, 9327 4748, 6112 0601
28/03/2017,20:06:44,11:31, 8540 2671,77 678 105
28/03/2017,20:18:17,10:52, 9423 2494, 6176 8387
28/03/2017,20:20:43,6:31,0688 173 87 46, 5312 3991
28/03/2017,20:34:10,8:36, 5355 5886, 9637 4653
28/03/2017,20:39:06,14:45, 5355 5886, 4989 1905
28/03/2017,20:52:45,23:19, 4012 5809, 8760 5692
28/03/2017,21:02:33,17:43, 4673 3624, 6265 0410
28/03/2017,21:15:57,21:54, 8540 2671,(82) 364-475
28/03/2017,21:16:20,2:57, 5355 5886, 4930 0801
28/03/2017,21:25:26,11:28, 5307 3680, 8356 1062
28/03/2017,21:36:21,12:10, 5307 5230, 4048 7545
28/03/2017,21:37:42,2:10, 5672 7055, 6136 8305
28/03/2017,21:51:21,4:28, 5307 3680, 4244 9767
28/03/2017,21:53:33,2:42, 9477 8972, 6105 7310
28/03/2017,21:56:58,0:19, 5355 5886, 9637 4653
28/03/2017,21:58:47,15:07,476 9923, 9038 2378
28/03/2017,21:59:25,2:46, 4945 5885,783 9809
28/03/2017,22:00:26,9:28, 5329 2569, 5681 8697
28/03/2017,22:05:04,19:14, 4548 9144, 6264 3127
28/03/2017,22:09:19,16:25, 5337 5630, 9391 9612
28/03/2017,22:23:43,15:59, 6104 3696, 9001 9066
28/03/2017,22:26:32,16:11,744 9149,040-807-644
28/03/2017,22:27:29,8:17, 8382 0342,9524 7262
28/03/2017,22:29:34,3:07,322 875 448,079 0930 5381
28/03/2017,22:30:03,22:48,606 306 251, 5310 6558
28/03/2017,22:46:13,6:02, 6732 5123, 5302 8540
28/03/2017,23:05:43,1:57,0688 173 87 46, 4006 4995
28/03/2017,23:07:39,1:18,(020) 4220-464, 6128 0535
28/03/2017,23:09:34,21:43, 6702 8557, 5321 4045
28/03/2017,23:09:46,15:37, 4548 9144, 8453 0899
28/03/2017,23:32:58,21:12, 5355 5886, 9637 4653
28/03/2017,23:38:46,10:21, 6104 3696,(81) 6876-4498
28/03/2017,23:51:32,16:11, 8453 0899, 8604 2338
29/03/2017,0:09:08,2:29, 5377 0274, 4009 8592
29/03/2017,0:16:01,0:35, 5329 2569, 5342 8385
29/03/2017,0:34:27,12:00, 3583 5510, 9254 2405
29/03/2017,0:38:12,15:34, 6195 4861, 6238 6832
29/03/2017,0:49:19,10:09, 9637 4653, 6754 5373
29/03/2017,0:51:51,1:41, 9009 1581, 8770 3636
29/03/2017,0:54:20,18:20, 4034 6525, 9041 4746
29/03/2017,0:59:04,18:08, 4043 7058, 6141 1980
29/03/2017,1:00:48,4:56,746 245 088,(48) 108-954
29/03/2017,1:01:43,19:27, 4548 9144, 9001 7773
29/03/2017,1:20:45,0:26, 8364 0116,0660 823 34 43
29/03/2017,1:22:19,10:25, 4548 9144, 9001 7773
29/03/2017,1:49:34,17:26, 6766 1158, 6167 4530
29/03/2017,1:50:55,5:08, 6702 8557,(81) 2721-6928
29/03/2017,1:54:04,12:53, 6169 0300, 4986 3679
29/03/2017,2:03:13,10:44, 4548 9144, 5399 5907
29/03/2017,2:07:25,22:17, 9016 9853, 6250 7786
29/03/2017,2:11:24,6:10, 4540 3670, 9085 2692
29/03/2017,2:24:25,0:00, 6736 6420, 9688 7543
29/03/2017,2:25:04,23:33, 5355 5886, 3909 1346
29/03/2017,2:26:11,18:58,041-041-109,077 2532 9341
29/03/2017,3:00:35,21:06, 4043 7058, 8332 4094
29/03/2017,3:00:55,22:23, 4087 8886, 8960 0743
29/03/2017,3:08:06,6:38, 4947 0783, 6705 6396
29/03/2017,3:24:48,2:24, 3583 5510, 4744 9895
29/03/2017,3:29:44,5:00, 6296 8134, 6184 6857
29/03/2017,3:33:10,15:29, 5312 2919, 5636 5184
29/03/2017,3:40:15,0:56, 6713 4537, 8779 0014
29/03/2017,4:06:13,6:06, 4548 9144, 9588 0693
29/03/2017,4:08:43,7:57, 9009 4973, 5302 3133
29/03/2017,4:14:55,19:19, 4549 6801, 6785 5572
29/03/2017,4:19:25,8:56, 2916-513, 3023 0730
29/03/2017,4:27:52,1:09, 3610 7890, 4585 8597
29/03/2017,4:39:31,1:06, 4979 8750, 6791 7736
29/03/2017,4:47:47,8:12, 6702 8557,(73) 275-309
29/03/2017,4:51:53,19:30, 6768 8522, 8722 2772
29/03/2017,4:53:11,7:39, 4034 6525, 8963 7942
29/03/2017,4:56:20,18:10, 4046 8242, 9223 9041
29/03/2017,5:10:07,10:23, 6780 7105, 4515 1406
29/03/2017,5:11:29,3:43, 4001 6888, 5322 0216
29/03/2017,5:13:03,23:32, 3583 5510, 4513 3231
29/03/2017,5:23:18,15:58, 8453 0899, 4554 2291
29/03/2017,5:35:26,5:16, 4582 8933, 5399 3561
29/03/2017,5:37:40,18:59,(45) 9059-2302, 9090 1821
29/03/2017,5:40:50,10:39, 9637 4653, 4059 7990
29/03/2017,5:41:13,17:27,741 887 205, 4987 3191
29/03/2017,5:43:05,10:58, 4074 2849, 4920 9652
29/03/2017,5:47:32,21:21, 8604 2338, 5380 0995
29/03/2017,5:53:18,15:03, 4928 0152, 9346 1927
29/03/2017,5:57:59,7:59,(45) 9059-2302, 6195 4861
29/03/2017,6:01:45,2:35, 6188 7869, 9276 5505
29/03/2017,6:18:59,9:22,620 001 750, 5306 3396
29/03/2017,6:22:25,14:44, 9540 5328,031-813-331
29/03/2017,6:32:45,7:21, 7625-6406, 6230 0594
29/03/2017,6:36:34,12:37, 9637 4653, 2956-6230
29/03/2017,6:41:35,14:23, 4920 6309, 6714 9571
29/03/2017,6:49:20,18:08, 3610 7890,(027) 0403-504
29/03/2017,6:53:32,3:09, 9032 8217, 4554 4184
29/03/2017,6:54:34,19:58, 6104 3696, 8922 2384
29/03/2017,6:54:44,1:48, 5312 0561, 9049 6018
29/03/2017,7:01:34,0:37, 5355 5886, 9637 4653
29/03/2017,7:15:20,15:08, 4043 7058,(84) 167-816
29/03/2017,7:17:02,4:38, 8951 9439, 4525 1353
29/03/2017,7:22:30,11:01, 4064 4131, 6742 9521
29/03/2017,7:24:07,17:29, 8297 7924, 7346-2064
29/03/2017,7:28:02,14:38, 6296 8134, 6114 5038
29/03/2017,7:51:49,22:54, 5355 5886, 9637 4653
29/03/2017,7:52:59,20:46,070-612-355, 4534 7159
29/03/2017,7:53:28,4:19, 3093 1976, 6244 9631
29/03/2017,8:04:06,7:27, 6115 4546,077 8233 1679
29/03/2017,8:07:15,6:16, 5722-497, 5309 8262
29/03/2017,8:16:42,4:48, 4548 9144, 5355 5886
29/03/2017,8:24:11,4:29, 6179 5556, 5389 6676
29/03/2017,8:30:27,7:49, 8741 0654, 3096 1712
29/03/2017,8:32:30,19:00, 8540 2671, 8756 3447
29/03/2017,8:37:57,17:30, 6271 3536, 4069 7899
29/03/2017,8:38:15,3:18, 5355 5886, 6240 8849
29/03/2017,8:39:53,21:48, 5319 7827, 6745 1499
29/03/2017,8:56:04,21:36, 6192 7373,0688 840 59 01
29/03/2017,8:57:59,13:36, 4879-9501, 4555 3799
29/03/2017,9:05:19,3:42, 4993 0731, 5353 3351
29/03/2017,9:13:41,9:53, 5355 5886, 6797 0191
29/03/2017,9:16:23,21:24, 5632 7446,72 392 238
29/03/2017,9:17:38,15:02,322 875 448, 6210 7418
29/03/2017,9:20:47,8:18, 9098 1379, 418-497
29/03/2017,9:26:49,6:04, 4976 9451, 4963 5159
29/03/2017,9:29:44,11:08, 8297 7924, 4080 6433
29/03/2017,10:01:18,7:39, 9034 3254, 6744 3508
29/03/2017,10:07:46,5:59, 8842 9215,070-350-773
29/03/2017,10:08:11,20:16, 4087 8886, 9075 6796
29/03/2017,10:09:05,8:31, 4532 6723,(52) 815-760
29/03/2017,10:18:48,10:04, 7623-7737, 4905 5771
29/03/2017,10:25:41,2:08, 5355 5886, 6758 0895
29/03/2017,10:27:03,3:28, 8390 5776, 6174 6097
29/03/2017,10:28:58,11:08, 4706 2002, 4922 6874
29/03/2017,10:32:59,0:14, 6758 0895, 5307 2083
29/03/2017,11:08:18,22:15, 6241 1295, 8844 8643
29/03/2017,11:10:43,15:58, 9588 0693, 6217 9851
29/03/2017,11:36:51,14:31, 4059 7191, 4073 5122
29/03/2017,11:37:12,7:51, 4557 0333, 9391 9612
29/03/2017,11:48:20,1:04,772 366 980, 3293 5333
29/03/2017,12:00:01,19:47, 6768 8522, 8757 1185
29/03/2017,12:03:35,11:07, 9019 1570,772 530 090
29/03/2017,12:04:07,18:29, 9637 4653,(93) 264-275
29/03/2017,12:10:12,15:56, 6276 2647, 4919 0308
29/03/2017,12:11:36,7:32, 8382 0342, 4973 7779
29/03/2017,12:15:47,3:36,0680 772 10 02, 9064 2558
29/03/2017,12:17:05,18:43, 4306 3814, 9686 0242
29/03/2017,12:21:10,5:45, 4548 9144, 4993 0731
29/03/2017,12:22:23,6:59, 4548 9144, 6264 3127
29/03/2017,12:23:21,21:38, 6264 3127, 8393 1428
29/03/2017,12:30:12,8:19, 4064 4131, 4967 9353
29/03/2017,12:37:19,8:14, 8453 0899, 9675 5904
29/03/2017,12:46:33,8:17, 4548 9144, 4993 0731
29/03/2017,12:52:25,18:47, 6118 3418,575 983 910
29/03/2017,12:54:43,21:49, 4548 9144, 8453 0899
29/03/2017,13:27:43,7:17, 5326 3217, 6138 0161
29/03/2017,13:37:46,8:11, 4074 2849,628 146 219
29/03/2017,13:50:23,17:07, 9675 5904, 4933 1412
29/03/2017,13:53:13,18:57, 6263 4851, 8310 5033
29/03/2017,13:54:17,23:04, 5312 0561, 8794 1451
29/03/2017,14:13:38,19:15, 5337 5630,72 125 128
29/03/2017,14:13:38,13:26, 6713 4537, 5302 8207
29/03/2017,14:17:49,11:41, 5393 8654, 5301 6156
29/03/2017,14:20:47,23:24, 4034 6525, 9255 1183
29/03/2017,14:21:15,13:39, 6263 4851, 5372 5922
29/03/2017,14:31:25,12:32, 5302 6612, 5322 4828
29/03/2017,14:32:21,9:24,(020) 4220-464, 5383 6450
29/03/2017,14:40:23,12:55, 5319 7827, 4094 9236
29/03/2017,14:45:17,10:04, 5316 0790,(42) 787-611
29/03/2017,14:54:20,3:12, 7623-7737, 6227 5688
29/03/2017,14:56:21,23:21, 4532 6723, 5684 4253
29/03/2017,14:57:25,15:47, 5307 5230, 4020 2321
29/03/2017,14:59:18,12:16, 8453 0899, 9675 5904
29/03/2017,15:04:30,23:58, 5722-497, 9286 8101
29/03/2017,15:17:53,12:08, 4559 5377,(028) 8790-300
29/03/2017,15:18:45,16:18, 5329 2569, 4068 2382
29/03/2017,15:23:21,23:08,041-041-109,051-298-299
29/03/2017,15:24:24,23:17, 4548 9144, 9637 4653
29/03/2017,15:40:52,22:12, 5310 7569, 9765 0370
29/03/2017,15:46:01,23:05, 5310 7569, 5358 4056
29/03/2017,15:47:04,20:46, 8955 6935, 4932 1226
29/03/2017,15:51:40,16:54, 4993 0731, 4548 9144
29/03/2017,16:04:02,23:32, 6758 0895, 4539 4290
29/03/2017,16:04:07,20:29, 4541 6689, 6788 2249
29/03/2017,16:04:51,19:10, 9561 6632,72 811 064
29/03/2017,16:06:11,5:44, 4548 9144, 8453 0899
29/03/2017,16:25:25,21:15, 6179 5556, 4058 6007
29/03/2017,16:26:05,9:41, 9637 4653,070 8609 7196
29/03/2017,16:33:07,3:11, 4993 0731, 9434 4877
29/03/2017,16:34:14,23:47, 4214 6139, 4995 3024
29/03/2017,16:42:40,22:34, 4548 9144, 3338 1137
29/03/2017,16:52:59,14:14, 4085 1720, 6264 2314
29/03/2017,17:08:42,3:04, 4993 0731, 6240 8849
29/03/2017,17:26:36,17:26,9553 6664, 4559 5157
29/03/2017,17:39:27,11:00, 8364 0116, 6701 5609
29/03/2017,17:42:32,4:05, 0586-184, 8775 5840
29/03/2017,17:58:04,4:03, 9009 1581, 9003 2016
29/03/2017,17:59:41,17:48, 5350 7926, 6289 8375
29/03/2017,18:00:31,8:12, 4518 8917, 5371 8712
29/03/2017,18:03:20,23:34, 5337 8923, 4033 0468
29/03/2017,18:03:48,12:47, 5337 5630,73 737 064
29/03/2017,18:14:01,15:57, 6790 8902, 9642 0007
29/03/2017,18:28:21,4:10, 4327 2022, 9792 0633
29/03/2017,18:29:28,22:20,(67) 6293-6580, 9042 9778
29/03/2017,18:32:50,7:52, 8951 9439, 6114 3639
29/03/2017,18:44:06,8:13, 4515 8316, 4037 1945
29/03/2017,18:57:25,21:17, 5355 5886, 9637 4653
29/03/2017,19:01:10,1:05, 5355 5886, 9424 7518
29/03/2017,19:06:57,23:14, 6282 2216, 4015 7064
29/03/2017,19:19:01,6:27, 9034 3254,079 3249 1712
29/03/2017,19:23:47,15:27, 8390 5776, 3461 4559
29/03/2017,19:24:35,6:10, 5329 2569,(027) 1682-278
29/03/2017,19:27:26,6:26, 6104 3696, 6155 7074
29/03/2017,19:58:57,12:59, 5341 1327, 6799 7745
29/03/2017,20:03:51,13:00, 6209 0416, 9013 3300
29/03/2017,20:11:57,16:16, 4976 9451, 6128 2296
29/03/2017,20:21:02,5:53, 4306 3814, 4014 5972
29/03/2017,20:27:12,8:49,(028) 9448-858, 8928 3913
29/03/2017,20:34:26,14:27, 5326 3217, 8222 2438
29/03/2017,20:38:38,14:41,(020) 4220-464, 5379 6338
29/03/2017,21:12:29,11:09, 5355 5886, 9006 6573
29/03/2017,21:14:30,1:06, 6263 4851, 4626 7475
29/03/2017,21:19:14,0:22, 6220 8320, 4017 6468
29/03/2017,21:30:54,9:45, 4087 8886, 4512 7882
29/03/2017,21:35:05,9:37, 4527 1110, 9441 6962
29/03/2017,21:37:35,4:49,(020) 4220-464, 8205 1293
29/03/2017,21:41:55,4:39, 4920 6309,(77) 5897-4197
29/03/2017,21:42:30,3:17, 9026 7969, 4997 5237
29/03/2017,21:42:43,20:50, 5307 5230, 5358 0664
29/03/2017,22:05:37,19:20, 8540 2671, 3904 6083
29/03/2017,22:13:04,21:32, 5391 8979, 4008 1310
29/03/2017,22:15:56,9:11, 5310 7569, 6204 8689
29/03/2017,22:28:29,20:35, 5307 5230, 4069 9669
29/03/2017,22:46:18,16:31, 6118 3418, 4933 1893
29/03/2017,22:53:53,12:16, 9090 1446, 9251 9696
29/03/2017,23:08:17,17:57, 4879-9501, 6799 1076
29/03/2017,23:16:54,1:33, 4536 4700,778 7677
29/03/2017,23:39:19,8:05, 4043 7058, 6220 0787
29/03/2017,23:45:43,10:20, 6115 4546, 5371 0003
30/03/2017,0:20:32,1:59, 4997 5822, 5302 8540
30/03/2017,0:24:33,2:58, 5320 2202, 4020 8119
30/03/2017,0:32:40,17:42, 4059 7191, 6291 1818
30/03/2017,0:38:29,4:15, 4548 9144, 6264 3127
30/03/2017,0:48:56,11:48, 4546 0943, 9318 2050
30/03/2017,1:06:35,0:08, 9327 4748, 8704 7853
30/03/2017,1:12:25,20:19,079 6565 3546, 4523 4048
30/03/2017,1:16:50,4:04, 8384 2611,(19) 4107-6844
30/03/2017,1:18:01,7:24, 6241 1295, 4289 1812
30/03/2017,1:21:58,18:59, 0586-184, 5388 7270
30/03/2017,1:26:47,16:17, 4997 5822, 8315 9620
30/03/2017,1:39:38,4:49, 4993 0731, 3187 7192
30/03/2017,1:42:38,15:19, 9098 1379, 6104 2334
30/03/2017,2:02:28,11:12, 6192 7373, 6256 0810
30/03/2017,2:05:21,7:31,575 580 002, 5354 7393
30/03/2017,2:11:56,9:36, 6263 4851, 814-516
30/03/2017,2:17:27,9:03, 6263 4851, 5351 0468
30/03/2017,2:42:56,14:21, 8232 6825,(028) 4900-940
30/03/2017,2:50:05,21:53, 4306 3814, 8141-624
30/03/2017,2:52:48,2:13, 7625-6406, 4048 2487
30/03/2017,3:20:52,4:03,(020) 4220-464, 4584 1252
30/03/2017,3:29:59,18:39, 8955 6935, 6720 3521
30/03/2017,3:34:56,2:26, 5632 7446, 8205 1293
30/03/2017,3:38:05,18:22, 6199 1599, 9905 7738
30/03/2017,3:40:38,22:39, 8453 0899, 4554 2291
30/03/2017,3:48:46,0:28, 6797 0191, 4378 8198
30/03/2017,3:53:57,8:40, 6199 1599, 6121 4314
30/03/2017,4:01:23,6:42, 4993 0731, 4548 9144
30/03/2017,4:14:50,5:24, 4544 6892,72 806 165
30/03/2017,4:28:16,6:26,(020) 4220-464, 5307 0199
30/03/2017,4:32:35,1:07, 6758 0895, 4516 0305
30/03/2017,4:39:07,17:34, 6763 7171,789 6894
30/03/2017,4:44:00,1:19, 4043 7058, 6119 7443
30/03/2017,4:55:26,3:33, 6240 8849,663 4814
30/03/2017,5:02:22,6:13, 5355 5886, 4532 6723
30/03/2017,5:08:21,1:35, 6230 9227, 4983 9000
30/03/2017,5:11:44,11:29, 5332 7340, 8729 3910
30/03/2017,5:11:49,22:29, 6209 0416, 4940 7127
30/03/2017,5:20:02,22:16, 5388 7270, 9401 9038
30/03/2017,5:32:18,6:10, 5329 2569,687 429 663
30/03/2017,5:41:01,17:54, 9001 7773, 6196 0921
30/03/2017,5:41:57,17:10, 4087 6139,070-795-539
30/03/2017,5:45:09,9:09, 5632 7446, 4078 2864
30/03/2017,5:56:14,9:50, 5317 6227, 9339 8863
30/03/2017,5:59:13,19:49, 4976 9451,(17) 7361-2072
30/03/2017,6:01:20,3:57, 6104 3696, 6167 5480
30/03/2017,6:01:56,14:53, 9138 6757,(028) 6087-248
30/03/2017,6:05:49,5:18, 8727 0368, 8258 0438
30/03/2017,6:32:41,21:03, 8955 6935, 4059 6051
30/03/2017,6:43:22,3:30, 8222 2443, 9200 9056
30/03/2017,6:49:23,15:04, 4045 7441, 9066 2275
30/03/2017,7:06:30,17:53, 4548 9144, 8453 0899
30/03/2017,7:24:36,20:18, 5722-497, 6743 6783
30/03/2017,7:26:57,23:29, 4099 4224, 9758 1492
30/03/2017,7:30:39,18:32, 5355 5886, 3909 1346
30/03/2017,7:48:42,19:14, 6179 5556, 5356 6206
30/03/2017,7:50:51,9:33, 4994 2133, 5305 1760
30/03/2017,7:54:18,17:48, 5337 8923, 6211 5963
30/03/2017,7:58:37,12:23, 6263 4851,079 7023 3888
30/03/2017,8:02:34,13:06, 8050 9021, 6159 8449
30/03/2017,8:11:26,16:17, 5329 2569, 4530 4926
30/03/2017,8:35:24,14:32, 5316 0790, 8874 5485
30/03/2017,8:51:29,16:32, 4976 9451,9674 3947
30/03/2017,9:08:40,8:56, 6276 2647, 6756 1760
30/03/2017,9:30:30,13:14, 6104 3696, 5356 7433
30/03/2017,9:31:40,21:16, 5396 1795, 5360 8699
30/03/2017,9:39:57,23:59,722 038 968, 5384 7664
30/03/2017,9:43:11,7:19, 4540 3670,449 4569
30/03/2017,9:57:27,6:04, 6766 1158, 4050 0952
30/03/2017,9:57:39,2:29, 9009 1581, 5610 2666
30/03/2017,10:00:55,10:37, 6258 5122, 4091 9031
30/03/2017,10:07:33,11:36, 6776 1367, 6227 1356
30/03/2017,10:09:02,6:02, 5329 2569, 9084 0667
30/03/2017,10:27:08,0:34, 9076 6777, 4548 4247
30/03/2017,10:42:37,3:27, 6758 0895, 5304 4474
30/03/2017,11:12:58,0:16,722 038 968,481 4404
30/03/2017,11:20:53,5:37, 4591 1165, 6283 8811
30/03/2017,11:22:56,11:11, 6766 1158, 9023 2143
30/03/2017,11:40:50,10:24, 4546 0943,(19) 2776-6420
30/03/2017,11:41:07,21:25, 4548 9144, 9588 0693
30/03/2017,11:41:14,20:14, 9637 4653, 5333 0501
30/03/2017,11:50:21,2:29, 4548 9144, 8453 0899
30/03/2017,11:59:40,15:11, 5396 1795, 5362 4118
30/03/2017,12:04:31,20:44, 8288 0441,0688 840 59 01
30/03/2017,12:05:01,13:29, 5329 2569, 5303 0915
30/03/2017,12:14:06,5:19, 4994 2133, 6751 7426
30/03/2017,12:14:26,1:54, 6192 7373,(028) 4067-417
30/03/2017,12:17:15,13:46,744 9149, 8277-118
30/03/2017,12:34:18,1:21, 4536 4700, 9387 7315
30/03/2017,12:44:48,22:26, 4548 9144, 6264 3127
30/03/2017,12:44:56,0:18, 5312 0561, 8715 0243
30/03/2017,12:45:13,23:10, 5355 5886, 9637 4653
30/03/2017,12:53:01,7:45, 8384 2611, 4514 4033
30/03/2017,12:55:18,18:49, 3951 0817, 5393 2692
30/03/2017,13:01:48,19:25, 8842 9215, 6284 2950
30/03/2017,13:08:20,22:39, 5326 3217, 8365 4667
30/03/2017,13:09:49,19:45, 8741 0654, 6790 3016
30/03/2017,13:18:16,21:53, 6780 7105, 5387 5979
30/03/2017,13:21:29,5:18, 5312 0561, 8793 9776
30/03/2017,13:22:12,15:42, 5337 5630, 6154 4037
30/03/2017,13:24:11,19:35, 5310 7569, 4948 8086
30/03/2017,13:34:35,12:12, 4548 9144, 4993 0731
30/03/2017,14:01:09,17:01, 4591 1165, 6262 2378
30/03/2017,14:04:26,15:18, 4778 3938, 4079 7232
30/03/2017,14:07:14,21:22, 5355 5886, 9637 4653
30/03/2017,14:19:07,4:27, 5355 5886, 9637 4653
30/03/2017,14:19:57,15:53, 6790 8902, 6154 9478
30/03/2017,14:21:16,5:01,(028) 9448-858, 8786 1183
30/03/2017,14:22:16,19:59, 4034 6525, 3874 8601
30/03/2017,14:23:49,4:33, 4054 6954, 6104 0948
30/03/2017,14:25:17,14:52, 6258 5122,079 1323 4409
30/03/2017,14:27:52,20:06, 6260 9581, 4547 9875
30/03/2017,14:30:37,9:54, 4979 8750, 9415 6084
30/03/2017,14:31:01,13:16, 5337 8923, 9039 2266
30/03/2017,14:39:46,0:28, 6767 4495, 3766 5107
30/03/2017,14:51:52,4:46, 6791 5095,031-998-747
30/03/2017,15:06:10,3:42, 8483 9935, 8761 5825
30/03/2017,15:13:49,2:05, 8842 9215, 4552 7206
30/03/2017,15:17:21,9:20,722 038 968, 8737 7432
30/03/2017,15:21:51,20:45, 4591 6175, 4973 9103
30/03/2017,15:41:23,5:45, 6139 0969, 8741 2965
30/03/2017,15:44:21,1:22, 6115 4546, 4512 9195
30/03/2017,15:56:02,4:18, 4548 9144, 9588 0693
30/03/2017,15:58:18,2:04,606 306 251, 8331 5410
30/03/2017,16:15:14,13:35, 4947 0783,72 392 238
30/03/2017,16:19:54,20:59, 4981 0056, 8338 7920
30/03/2017,16:22:10,14:04, 5329 2569, 4038 4680
30/03/2017,16:29:40,23:41, 4993 0731, 6209 0416
30/03/2017,16:33:10,5:40, 8206 2272, 8348 2547
30/03/2017,16:33:34,13:26, 6199 1599, 6131 1331
30/03/2017,16:44:57,23:09, 9637 4653, 8380 2074
30/03/2017,16:49:10,7:19, 5379 0356,9656 7498
30/03/2017,16:49:32,21:16, 6271 3536, 8599 1447
30/03/2017,16:50:42,21:00, 9090 1446, 8746 0354
30/03/2017,16:53:36,6:15, 5355 5886, 9424 7518
30/03/2017,17:03:38,18:39, 6241 1295,311 055 733
30/03/2017,17:14:43,9:40, 6104 3696, 6791 6581
30/03/2017,17:25:31,9:02, 6271 3536, 4052 4604
30/03/2017,17:53:04,8:22, 5355 5886, 5380 8256
30/03/2017,18:02:13,20:59, 6713 4537, 4002 2837
30/03/2017,18:06:57,22:25, 4085 1939, 5378 4500
30/03/2017,18:08:57,11:36, 4034 6525,78 127 999
30/03/2017,18:20:52,6:53, 4993 0731, 9076 6777
30/03/2017,18:21:32,9:13, 9637 4653, 5389 7192
30/03/2017,18:22:59,22:03, 8335 7036, 6221 2459
30/03/2017,18:26:53,7:58, 5345 2494,433 9203
